onset	duration	trial_type	stim_file
6.000	1.50	image10	stim-image10.png
12.000	1.50	image14	stim-image14.png
16.500	1.50	image11	stim-image11.png
19.500	1.50	image14	stim-image14.png
25.500	1.50	image08	stim-image08.png
30.000	1.50	image15	stim-image15.png
34.500	1.50	image04	stim-image04.png
40.500	1.50	image14	stim-image14.png
46.500	1.50	image15	stim-image15.png
51.000	1.50	image16	stim-image16.png
57.000	1.50	image15	stim-image15.png
60.000	1.50	image12	stim-image12.png
63.000	1.50	image07	stim-image07.png
66.000	1.50	image10	stim-image10.png
70.500	1.50	image12	stim-image12.png
76.500	1.50	image05	stim-image05.png
81.000	1.50	image11	stim-image11.png
85.500	1.50	image04	stim-image04.png
90.000	1.50	image13	stim-image13.png
96.000	1.50	image06	stim-image06.png
100.500	1.50	image08	stim-image08.png
103.500	1.50	image01	stim-image01.png
108.000	1.50	image16	stim-image16.png
114.000	1.50	image07	stim-image07.png
120.000	1.50	image11	stim-image11.png
123.000	1.50	image06	stim-image06.png
126.000	1.50	image02	stim-image02.png
130.500	1.50	image10	stim-image10.png
136.500	1.50	image05	stim-image05.png
139.500	1.50	image01	stim-image01.png
144.000	1.50	image07	stim-image07.png
148.500	1.50	image01	stim-image01.png
151.500	1.50	image13	stim-image13.png
156.000	1.50	image12	stim-image12.png
159.000	1.50	image16	stim-image16.png
165.000	1.50	image02	stim-image02.png
168.000	1.50	image03	stim-image03.png
172.500	1.50	image04	stim-image04.png
175.500	1.50	image09	stim-image09.png
180.000	1.50	image02	stim-image02.png
183.000	1.50	image05	stim-image05.png
186.000	1.50	image08	stim-image08.png
192.000	1.50	image03	stim-image03.png
198.000	1.50	image09	stim-image09.png
204.000	1.50	image06	stim-image06.png
207.000	1.50	image09	stim-image09.png
211.500	1.50	image03	stim-image03.png
217.500	1.50	image13	stim-image13.png
223.500	1.50	image05	stim-image05.png
229.500	1.50	image10	stim-image10.png
234.000	1.50	image14	stim-image14.png
237.000	1.50	image02	stim-image02.png
243.000	1.50	image15	stim-image15.png
246.000	1.50	image07	stim-image07.png
250.500	1.50	image03	stim-image03.png
256.500	1.50	image02	stim-image02.png
262.500	1.50	image13	stim-image13.png
265.500	1.50	image04	stim-image04.png
268.500	1.50	image14	stim-image14.png
274.500	1.50	image08	stim-image08.png
279.000	1.50	image06	stim-image06.png
285.000	1.50	image16	stim-image16.png
288.000	1.50	image07	stim-image07.png
292.500	1.50	image03	stim-image03.png
295.500	1.50	image01	stim-image01.png
300.000	1.50	image13	stim-image13.png
306.000	1.50	image11	stim-image11.png
310.500	1.50	image08	stim-image08.png
316.500	1.50	image09	stim-image09.png
322.500	1.50	image01	stim-image01.png
327.000	1.50	image11	stim-image11.png
330.000	1.50	image15	stim-image15.png
336.000	1.50	image05	stim-image05.png
339.000	1.50	image10	stim-image10.png
343.500	1.50	image04	stim-image04.png
346.500	1.50	image12	stim-image12.png
349.500	1.50	image06	stim-image06.png
355.500	1.50	image16	stim-image16.png
358.500	1.50	image09	stim-image09.png
363.000	1.50	image12	stim-image12.png
