onset	duration	trial_type	stim_file
6.000	1.50	image13	stim-image13.png
12.000	1.50	image06	stim-image06.png
15.000	1.50	image01	stim-image01.png
18.000	1.50	image05	stim-image05.png
24.000	1.50	image07	stim-image07.png
30.000	1.50	image05	stim-image05.png
34.500	1.50	image10	stim-image10.png
39.000	1.50	image03	stim-image03.png
42.000	1.50	image04	stim-image04.png
48.000	1.50	image14	stim-image14.png
54.000	1.50	image13	stim-image13.png
57.000	1.50	image02	stim-image02.png
61.500	1.50	image12	stim-image12.png
67.500	1.50	image04	stim-image04.png
73.500	1.50	image15	stim-image15.png
78.000	1.50	image04	stim-image04.png
81.000	1.50	image08	stim-image08.png
84.000	1.50	image13	stim-image13.png
87.000	1.50	image15	stim-image15.png
93.000	1.50	image03	stim-image03.png
99.000	1.50	image12	stim-image12.png
105.000	1.50	image02	stim-image02.png
111.000	1.50	image10	stim-image10.png
117.000	1.50	image08	stim-image08.png
121.500	1.50	image11	stim-image11.png
124.500	1.50	image05	stim-image05.png
130.500	1.50	image03	stim-image03.png
136.500	1.50	image14	stim-image14.png
141.000	1.50	image16	stim-image16.png
145.500	1.50	image14	stim-image14.png
150.000	1.50	image10	stim-image10.png
156.000	1.50	image12	stim-image12.png
159.000	1.50	image16	stim-image16.png
163.500	1.50	image08	stim-image08.png
168.000	1.50	image06	stim-image06.png
174.000	1.50	image15	stim-image15.png
177.000	1.50	image07	stim-image07.png
180.000	1.50	image11	stim-image11.png
183.000	1.50	image09	stim-image09.png
189.000	1.50	image01	stim-image01.png
193.500	1.50	image02	stim-image02.png
196.500	1.50	image01	stim-image01.png
201.000	1.50	image09	stim-image09.png
205.500	1.50	image07	stim-image07.png
211.500	1.50	image09	stim-image09.png
217.500	1.50	image11	stim-image11.png
220.500	1.50	image06	stim-image06.png
223.500	1.50	image16	stim-image16.png
228.000	1.50	image05	stim-image05.png
234.000	1.50	image10	stim-image10.png
238.500	1.50	image12	stim-image12.png
243.000	1.50	image09	stim-image09.png
247.500	1.50	image12	stim-image12.png
253.500	1.50	image16	stim-image16.png
256.500	1.50	image02	stim-image02.png
261.000	1.50	image14	stim-image14.png
264.000	1.50	image04	stim-image04.png
267.000	1.50	image11	stim-image11.png
271.500	1.50	image13	stim-image13.png
277.500	1.50	image06	stim-image06.png
280.500	1.50	image08	stim-image08.png
283.500	1.50	image15	stim-image15.png
288.000	1.50	image01	stim-image01.png
294.000	1.50	image14	stim-image14.png
297.000	1.50	image10	stim-image10.png
301.500	1.50	image15	stim-image15.png
306.000	1.50	image09	stim-image09.png
310.500	1.50	image04	stim-image04.png
313.500	1.50	image13	stim-image13.png
318.000	1.50	image03	stim-image03.png
321.000	1.50	image11	stim-image11.png
324.000	1.50	image02	stim-image02.png
330.000	1.50	image06	stim-image06.png
333.000	1.50	image01	stim-image01.png
337.500	1.50	image07	stim-image07.png
340.500	1.50	image08	stim-image08.png
346.500	1.50	image05	stim-image05.png
352.500	1.50	image07	stim-image07.png
357.000	1.50	image16	stim-image16.png
363.000	1.50	image03	stim-image03.png
