onset	duration	trial_type	stim_file
6.000	1.50	image13	stim-image13.png
9.000	1.50	image03	stim-image03.png
13.500	1.50	image13	stim-image13.png
18.000	1.50	image08	stim-image08.png
21.000	1.50	image01	stim-image01.png
24.000	1.50	image15	stim-image15.png
28.500	1.50	image07	stim-image07.png
33.000	1.50	image03	stim-image03.png
37.500	1.50	image12	stim-image12.png
43.500	1.50	image10	stim-image10.png
46.500	1.50	image14	stim-image14.png
52.500	1.50	image12	stim-image12.png
57.000	1.50	image06	stim-image06.png
60.000	1.50	image09	stim-image09.png
63.000	1.50	image04	stim-image04.png
69.000	1.50	image06	stim-image06.png
75.000	1.50	image14	stim-image14.png
81.000	1.50	image05	stim-image05.png
87.000	1.50	image12	stim-image12.png
91.500	1.50	image15	stim-image15.png
96.000	1.50	image11	stim-image11.png
102.000	1.50	image13	stim-image13.png
108.000	1.50	image16	stim-image16.png
112.500	1.50	image08	stim-image08.png
118.500	1.50	image11	stim-image11.png
121.500	1.50	image16	stim-image16.png
127.500	1.50	image08	stim-image08.png
133.500	1.50	image02	stim-image02.png
139.500	1.50	image05	stim-image05.png
142.500	1.50	image03	stim-image03.png
145.500	1.50	image04	stim-image04.png
150.000	1.50	image01	stim-image01.png
153.000	1.50	image09	stim-image09.png
159.000	1.50	image16	stim-image16.png
163.500	1.50	image05	stim-image05.png
168.000	1.50	image02	stim-image02.png
171.000	1.50	image14	stim-image14.png
177.000	1.50	image10	stim-image10.png
183.000	1.50	image09	stim-image09.png
187.500	1.50	image15	stim-image15.png
193.500	1.50	image02	stim-image02.png
196.500	1.50	image07	stim-image07.png
202.500	1.50	image04	stim-image04.png
207.000	1.50	image06	stim-image06.png
210.000	1.50	image10	stim-image10.png
213.000	1.50	image01	stim-image01.png
217.500	1.50	image07	stim-image07.png
220.500	1.50	image11	stim-image11.png
225.000	1.50	image04	stim-image04.png
229.500	1.50	image07	stim-image07.png
232.500	1.50	image15	stim-image15.png
237.000	1.50	image06	stim-image06.png
241.500	1.50	image16	stim-image16.png
244.500	1.50	image13	stim-image13.png
250.500	1.50	image16	stim-image16.png
253.500	1.50	image09	stim-image09.png
259.500	1.50	image05	stim-image05.png
262.500	1.50	image13	stim-image13.png
267.000	1.50	image08	stim-image08.png
270.000	1.50	image05	stim-image05.png
273.000	1.50	image04	stim-image04.png
276.000	1.50	image11	stim-image11.png
280.500	1.50	image14	stim-image14.png
286.500	1.50	image12	stim-image12.png
289.500	1.50	image10	stim-image10.png
294.000	1.50	image08	stim-image08.png
297.000	1.50	image03	stim-image03.png
303.000	1.50	image11	stim-image11.png
306.000	1.50	image01	stim-image01.png
312.000	1.50	image07	stim-image07.png
318.000	1.50	image09	stim-image09.png
324.000	1.50	image10	stim-image10.png
328.500	1.50	image02	stim-image02.png
334.500	1.50	image01	stim-image01.png
339.000	1.50	image12	stim-image12.png
345.000	1.50	image15	stim-image15.png
351.000	1.50	image06	stim-image06.png
355.500	1.50	image14	stim-image14.png
360.000	1.50	image02	stim-image02.png
363.000	1.50	image03	stim-image03.png
