onset	duration	trial_type	stim_file
6.000	1.50	image06	stim-image06.png
9.000	1.50	image02	stim-image02.png
15.000	1.50	image08	stim-image08.png
21.000	1.50	image12	stim-image12.png
27.000	1.50	image03	stim-image03.png
31.500	1.50	image07	stim-image07.png
34.500	1.50	image04	stim-image04.png
39.000	1.50	image15	stim-image15.png
43.500	1.50	image01	stim-image01.png
46.500	1.50	image11	stim-image11.png
49.500	1.50	image07	stim-image07.png
55.500	1.50	image03	stim-image03.png
60.000	1.50	image09	stim-image09.png
63.000	1.50	image04	stim-image04.png
69.000	1.50	image06	stim-image06.png
72.000	1.50	image01	stim-image01.png
78.000	1.50	image16	stim-image16.png
81.000	1.50	image15	stim-image15.png
87.000	1.50	image13	stim-image13.png
93.000	1.50	image14	stim-image14.png
97.500	1.50	image04	stim-image04.png
100.500	1.50	image03	stim-image03.png
105.000	1.50	image09	stim-image09.png
108.000	1.50	image10	stim-image10.png
114.000	1.50	image13	stim-image13.png
117.000	1.50	image14	stim-image14.png
120.000	1.50	image02	stim-image02.png
126.000	1.50	image16	stim-image16.png
132.000	1.50	image12	stim-image12.png
136.500	1.50	image16	stim-image16.png
142.500	1.50	image13	stim-image13.png
148.500	1.50	image15	stim-image15.png
153.000	1.50	image05	stim-image05.png
159.000	1.50	image14	stim-image14.png
162.000	1.50	image08	stim-image08.png
166.500	1.50	image12	stim-image12.png
172.500	1.50	image10	stim-image10.png
177.000	1.50	image11	stim-image11.png
181.500	1.50	image01	stim-image01.png
184.500	1.50	image09	stim-image09.png
190.500	1.50	image05	stim-image05.png
195.000	1.50	image08	stim-image08.png
201.000	1.50	image06	stim-image06.png
204.000	1.50	image10	stim-image10.png
207.000	1.50	image11	stim-image11.png
211.500	1.50	image07	stim-image07.png
216.000	1.50	image02	stim-image02.png
222.000	1.50	image05	stim-image05.png
226.500	1.50	image06	stim-image06.png
229.500	1.50	image11	stim-image11.png
235.500	1.50	image15	stim-image15.png
238.500	1.50	image11	stim-image11.png
243.000	1.50	image12	stim-image12.png
249.000	1.50	image09	stim-image09.png
252.000	1.50	image02	stim-image02.png
258.000	1.50	image08	stim-image08.png
261.000	1.50	image16	stim-image16.png
265.500	1.50	image02	stim-image02.png
268.500	1.50	image04	stim-image04.png
271.500	1.50	image08	stim-image08.png
277.500	1.50	image03	stim-image03.png
282.000	1.50	image01	stim-image01.png
285.000	1.50	image12	stim-image12.png
289.500	1.50	image10	stim-image10.png
294.000	1.50	image03	stim-image03.png
298.500	1.50	image15	stim-image15.png
301.500	1.50	image07	stim-image07.png
306.000	1.50	image10	stim-image10.png
310.500	1.50	image09	stim-image09.png
315.000	1.50	image05	stim-image05.png
321.000	1.50	image16	stim-image16.png
325.500	1.50	image14	stim-image14.png
328.500	1.50	image05	stim-image05.png
331.500	1.50	image04	stim-image04.png
334.500	1.50	image06	stim-image06.png
340.500	1.50	image14	stim-image14.png
346.500	1.50	image01	stim-image01.png
352.500	1.50	image13	stim-image13.png
357.000	1.50	image07	stim-image07.png
363.000	1.50	image13	stim-image13.png
