onset	duration	trial_type	stim_file
6.000	1.50	image08	stim-image08.png
12.000	1.50	image11	stim-image11.png
15.000	1.50	image10	stim-image10.png
19.500	1.50	image06	stim-image06.png
24.000	1.50	image15	stim-image15.png
27.000	1.50	image02	stim-image02.png
30.000	1.50	image09	stim-image09.png
34.500	1.50	image15	stim-image15.png
39.000	1.50	image16	stim-image16.png
42.000	1.50	image10	stim-image10.png
45.000	1.50	image06	stim-image06.png
51.000	1.50	image01	stim-image01.png
54.000	1.50	image15	stim-image15.png
57.000	1.50	image07	stim-image07.png
63.000	1.50	image04	stim-image04.png
69.000	1.50	image12	stim-image12.png
75.000	1.50	image11	stim-image11.png
79.500	1.50	image04	stim-image04.png
85.500	1.50	image03	stim-image03.png
91.500	1.50	image07	stim-image07.png
96.000	1.50	image09	stim-image09.png
99.000	1.50	image01	stim-image01.png
105.000	1.50	image13	stim-image13.png
111.000	1.50	image11	stim-image11.png
117.000	1.50	image14	stim-image14.png
120.000	1.50	image06	stim-image06.png
124.500	1.50	image03	stim-image03.png
130.500	1.50	image13	stim-image13.png
133.500	1.50	image05	stim-image05.png
138.000	1.50	image16	stim-image16.png
141.000	1.50	image08	stim-image08.png
145.500	1.50	image03	stim-image03.png
151.500	1.50	image02	stim-image02.png
154.500	1.50	image12	stim-image12.png
159.000	1.50	image09	stim-image09.png
163.500	1.50	image13	stim-image13.png
168.000	1.50	image14	stim-image14.png
171.000	1.50	image07	stim-image07.png
175.500	1.50	image14	stim-image14.png
180.000	1.50	image12	stim-image12.png
183.000	1.50	image01	stim-image01.png
186.000	1.50	image08	stim-image08.png
192.000	1.50	image05	stim-image05.png
196.500	1.50	image10	stim-image10.png
202.500	1.50	image02	stim-image02.png
207.000	1.50	image05	stim-image05.png
210.000	1.50	image04	stim-image04.png
216.000	1.50	image16	stim-image16.png
220.500	1.50	image03	stim-image03.png
223.500	1.50	image16	stim-image16.png
226.500	1.50	image05	stim-image05.png
231.000	1.50	image11	stim-image11.png
234.000	1.50	image14	stim-image14.png
237.000	1.50	image15	stim-image15.png
241.500	1.50	image12	stim-image12.png
246.000	1.50	image11	stim-image11.png
250.500	1.50	image01	stim-image01.png
255.000	1.50	image09	stim-image09.png
259.500	1.50	image12	stim-image12.png
262.500	1.50	image03	stim-image03.png
265.500	1.50	image08	stim-image08.png
271.500	1.50	image05	stim-image05.png
277.500	1.50	image04	stim-image04.png
283.500	1.50	image14	stim-image14.png
288.000	1.50	image15	stim-image15.png
294.000	1.50	image13	stim-image13.png
300.000	1.50	image10	stim-image10.png
306.000	1.50	image13	stim-image13.png
310.500	1.50	image07	stim-image07.png
315.000	1.50	image02	stim-image02.png
321.000	1.50	image10	stim-image10.png
324.000	1.50	image04	stim-image04.png
327.000	1.50	image02	stim-image02.png
333.000	1.50	image09	stim-image09.png
339.000	1.50	image06	stim-image06.png
345.000	1.50	image08	stim-image08.png
348.000	1.50	image07	stim-image07.png
354.000	1.50	image16	stim-image16.png
357.000	1.50	image01	stim-image01.png
363.000	1.50	image06	stim-image06.png
