onset	duration	trial_type	stim_file
6.000	1.50	image07	stim-image07.png
9.000	1.50	image08	stim-image08.png
15.000	1.50	image04	stim-image04.png
21.000	1.50	image08	stim-image08.png
25.500	1.50	image02	stim-image02.png
30.000	1.50	image07	stim-image07.png
36.000	1.50	image03	stim-image03.png
40.500	1.50	image16	stim-image16.png
45.000	1.50	image05	stim-image05.png
49.500	1.50	image13	stim-image13.png
52.500	1.50	image06	stim-image06.png
57.000	1.50	image16	stim-image16.png
60.000	1.50	image10	stim-image10.png
64.500	1.50	image05	stim-image05.png
69.000	1.50	image10	stim-image10.png
72.000	1.50	image16	stim-image16.png
78.000	1.50	image04	stim-image04.png
84.000	1.50	image05	stim-image05.png
90.000	1.50	image07	stim-image07.png
96.000	1.50	image13	stim-image13.png
102.000	1.50	image09	stim-image09.png
108.000	1.50	image14	stim-image14.png
112.500	1.50	image03	stim-image03.png
117.000	1.50	image15	stim-image15.png
123.000	1.50	image11	stim-image11.png
126.000	1.50	image02	stim-image02.png
130.500	1.50	image12	stim-image12.png
136.500	1.50	image15	stim-image15.png
139.500	1.50	image11	stim-image11.png
144.000	1.50	image14	stim-image14.png
148.500	1.50	image03	stim-image03.png
153.000	1.50	image01	stim-image01.png
159.000	1.50	image02	stim-image02.png
165.000	1.50	image12	stim-image12.png
168.000	1.50	image06	stim-image06.png
172.500	1.50	image01	stim-image01.png
175.500	1.50	image11	stim-image11.png
180.000	1.50	image12	stim-image12.png
183.000	1.50	image09	stim-image09.png
186.000	1.50	image01	stim-image01.png
192.000	1.50	image08	stim-image08.png
198.000	1.50	image06	stim-image06.png
201.000	1.50	image14	stim-image14.png
204.000	1.50	image10	stim-image10.png
207.000	1.50	image15	stim-image15.png
213.000	1.50	image09	stim-image09.png
217.500	1.50	image04	stim-image04.png
220.500	1.50	image13	stim-image13.png
223.500	1.50	image03	stim-image03.png
226.500	1.50	image08	stim-image08.png
232.500	1.50	image15	stim-image15.png
237.000	1.50	image02	stim-image02.png
243.000	1.50	image16	stim-image16.png
246.000	1.50	image11	stim-image11.png
252.000	1.50	image06	stim-image06.png
255.000	1.50	image16	stim-image16.png
259.500	1.50	image05	stim-image05.png
262.500	1.50	image13	stim-image13.png
267.000	1.50	image01	stim-image01.png
271.500	1.50	image08	stim-image08.png
274.500	1.50	image14	stim-image14.png
277.500	1.50	image01	stim-image01.png
283.500	1.50	image10	stim-image10.png
289.500	1.50	image02	stim-image02.png
294.000	1.50	image10	stim-image10.png
298.500	1.50	image03	stim-image03.png
303.000	1.50	image06	stim-image06.png
306.000	1.50	image04	stim-image04.png
309.000	1.50	image11	stim-image11.png
312.000	1.50	image09	stim-image09.png
315.000	1.50	image14	stim-image14.png
321.000	1.50	image15	stim-image15.png
324.000	1.50	image12	stim-image12.png
330.000	1.50	image07	stim-image07.png
334.500	1.50	image13	stim-image13.png
340.500	1.50	image04	stim-image04.png
346.500	1.50	image09	stim-image09.png
352.500	1.50	image05	stim-image05.png
357.000	1.50	image07	stim-image07.png
363.000	1.50	image12	stim-image12.png
