onset	duration	trial_type	stim_file
6.000	1.50	image16	stim-image16.png
10.500	1.50	image06	stim-image06.png
13.500	1.50	image12	stim-image12.png
18.000	1.50	image07	stim-image07.png
22.500	1.50	image03	stim-image03.png
25.500	1.50	image14	stim-image14.png
30.000	1.50	image05	stim-image05.png
34.500	1.50	image09	stim-image09.png
37.500	1.50	image06	stim-image06.png
42.000	1.50	image11	stim-image11.png
45.000	1.50	image15	stim-image15.png
48.000	1.50	image10	stim-image10.png
54.000	1.50	image06	stim-image06.png
60.000	1.50	image02	stim-image02.png
66.000	1.50	image04	stim-image04.png
70.500	1.50	image10	stim-image10.png
76.500	1.50	image16	stim-image16.png
81.000	1.50	image15	stim-image15.png
85.500	1.50	image03	stim-image03.png
88.500	1.50	image16	stim-image16.png
91.500	1.50	image01	stim-image01.png
94.500	1.50	image07	stim-image07.png
100.500	1.50	image11	stim-image11.png
103.500	1.50	image09	stim-image09.png
106.500	1.50	image03	stim-image03.png
112.500	1.50	image12	stim-image12.png
118.500	1.50	image13	stim-image13.png
124.500	1.50	image12	stim-image12.png
129.000	1.50	image14	stim-image14.png
133.500	1.50	image08	stim-image08.png
138.000	1.50	image07	stim-image07.png
141.000	1.50	image04	stim-image04.png
145.500	1.50	image14	stim-image14.png
150.000	1.50	image13	stim-image13.png
153.000	1.50	image05	stim-image05.png
156.000	1.50	image08	stim-image08.png
159.000	1.50	image10	stim-image10.png
165.000	1.50	image13	stim-image13.png
171.000	1.50	image01	stim-image01.png
177.000	1.50	image09	stim-image09.png
180.000	1.50	image02	stim-image02.png
186.000	1.50	image01	stim-image01.png
190.500	1.50	image04	stim-image04.png
193.500	1.50	image15	stim-image15.png
199.500	1.50	image05	stim-image05.png
202.500	1.50	image11	stim-image11.png
208.500	1.50	image08	stim-image08.png
211.500	1.50	image02	stim-image02.png
216.000	1.50	image03	stim-image03.png
220.500	1.50	image10	stim-image10.png
225.000	1.50	image04	stim-image04.png
229.500	1.50	image16	stim-image16.png
235.500	1.50	image08	stim-image08.png
241.500	1.50	image12	stim-image12.png
247.500	1.50	image14	stim-image14.png
252.000	1.50	image15	stim-image15.png
258.000	1.50	image12	stim-image12.png
264.000	1.50	image11	stim-image11.png
267.000	1.50	image03	stim-image03.png
271.500	1.50	image07	stim-image07.png
277.500	1.50	image05	stim-image05.png
280.500	1.50	image16	stim-image16.png
286.500	1.50	image09	stim-image09.png
289.500	1.50	image05	stim-image05.png
295.500	1.50	image04	stim-image04.png
300.000	1.50	image02	stim-image02.png
303.000	1.50	image11	stim-image11.png
309.000	1.50	image10	stim-image10.png
315.000	1.50	image06	stim-image06.png
319.500	1.50	image07	stim-image07.png
325.500	1.50	image09	stim-image09.png
328.500	1.50	image08	stim-image08.png
334.500	1.50	image01	stim-image01.png
339.000	1.50	image14	stim-image14.png
343.500	1.50	image13	stim-image13.png
348.000	1.50	image06	stim-image06.png
351.000	1.50	image01	stim-image01.png
357.000	1.50	image15	stim-image15.png
360.000	1.50	image02	stim-image02.png
363.000	1.50	image13	stim-image13.png
