onset	duration	trial_type	stim_file
6.000	1.50	image15	stim-image15.png
9.000	1.50	image12	stim-image12.png
13.500	1.50	image10	stim-image10.png
18.000	1.50	image15	stim-image15.png
21.000	1.50	image10	stim-image10.png
24.000	1.50	image07	stim-image07.png
27.000	1.50	image11	stim-image11.png
33.000	1.50	image12	stim-image12.png
39.000	1.50	image09	stim-image09.png
43.500	1.50	image16	stim-image16.png
46.500	1.50	image09	stim-image09.png
52.500	1.50	image14	stim-image14.png
58.500	1.50	image03	stim-image03.png
61.500	1.50	image12	stim-image12.png
67.500	1.50	image13	stim-image13.png
72.000	1.50	image03	stim-image03.png
78.000	1.50	image05	stim-image05.png
82.500	1.50	image01	stim-image01.png
85.500	1.50	image08	stim-image08.png
88.500	1.50	image14	stim-image14.png
93.000	1.50	image01	stim-image01.png
96.000	1.50	image06	stim-image06.png
100.500	1.50	image02	stim-image02.png
106.500	1.50	image08	stim-image08.png
109.500	1.50	image07	stim-image07.png
115.500	1.50	image02	stim-image02.png
118.500	1.50	image04	stim-image04.png
123.000	1.50	image01	stim-image01.png
127.500	1.50	image05	stim-image05.png
130.500	1.50	image14	stim-image14.png
135.000	1.50	image04	stim-image04.png
141.000	1.50	image03	stim-image03.png
147.000	1.50	image15	stim-image15.png
151.500	1.50	image07	stim-image07.png
156.000	1.50	image13	stim-image13.png
159.000	1.50	image09	stim-image09.png
165.000	1.50	image11	stim-image11.png
168.000	1.50	image04	stim-image04.png
172.500	1.50	image06	stim-image06.png
177.000	1.50	image08	stim-image08.png
183.000	1.50	image02	stim-image02.png
186.000	1.50	image16	stim-image16.png
190.500	1.50	image13	stim-image13.png
193.500	1.50	image10	stim-image10.png
199.500	1.50	image06	stim-image06.png
202.500	1.50	image05	stim-image05.png
208.500	1.50	image16	stim-image16.png
213.000	1.50	image11	stim-image11.png
219.000	1.50	image07	stim-image07.png
223.500	1.50	image12	stim-image12.png
226.500	1.50	image07	stim-image07.png
232.500	1.50	image08	stim-image08.png
238.500	1.50	image10	stim-image10.png
241.500	1.50	image02	stim-image02.png
244.500	1.50	image11	stim-image11.png
247.500	1.50	image16	stim-image16.png
250.500	1.50	image04	stim-image04.png
255.000	1.50	image13	stim-image13.png
258.000	1.50	image14	stim-image14.png
261.000	1.50	image11	stim-image11.png
265.500	1.50	image05	stim-image05.png
271.500	1.50	image15	stim-image15.png
277.500	1.50	image13	stim-image13.png
280.500	1.50	image14	stim-image14.png
286.500	1.50	image03	stim-image03.png
292.500	1.50	image15	stim-image15.png
297.000	1.50	image09	stim-image09.png
301.500	1.50	image02	stim-image02.png
307.500	1.50	image04	stim-image04.png
313.500	1.50	image08	stim-image08.png
319.500	1.50	image06	stim-image06.png
324.000	1.50	image10	stim-image10.png
328.500	1.50	image09	stim-image09.png
334.500	1.50	image06	stim-image06.png
340.500	1.50	image05	stim-image05.png
345.000	1.50	image12	stim-image12.png
349.500	1.50	image03	stim-image03.png
354.000	1.50	image01	stim-image01.png
357.000	1.50	image16	stim-image16.png
363.000	1.50	image01	stim-image01.png
