onset	duration	trial_type	stim_file
6.000	1.50	image05	stim-image05.png
10.500	1.50	image10	stim-image10.png
15.000	1.50	image11	stim-image11.png
18.000	1.50	image15	stim-image15.png
21.000	1.50	image02	stim-image02.png
24.000	1.50	image07	stim-image07.png
30.000	1.50	image16	stim-image16.png
33.000	1.50	image06	stim-image06.png
39.000	1.50	image16	stim-image16.png
42.000	1.50	image08	stim-image08.png
46.500	1.50	image05	stim-image05.png
49.500	1.50	image11	stim-image11.png
54.000	1.50	image12	stim-image12.png
58.500	1.50	image14	stim-image14.png
61.500	1.50	image09	stim-image09.png
67.500	1.50	image12	stim-image12.png
73.500	1.50	image08	stim-image08.png
79.500	1.50	image01	stim-image01.png
82.500	1.50	image03	stim-image03.png
88.500	1.50	image06	stim-image06.png
94.500	1.50	image10	stim-image10.png
97.500	1.50	image13	stim-image13.png
100.500	1.50	image01	stim-image01.png
103.500	1.50	image15	stim-image15.png
108.000	1.50	image04	stim-image04.png
112.500	1.50	image07	stim-image07.png
117.000	1.50	image15	stim-image15.png
121.500	1.50	image14	stim-image14.png
127.500	1.50	image10	stim-image10.png
132.000	1.50	image13	stim-image13.png
136.500	1.50	image09	stim-image09.png
142.500	1.50	image04	stim-image04.png
148.500	1.50	image16	stim-image16.png
153.000	1.50	image02	stim-image02.png
157.500	1.50	image12	stim-image12.png
163.500	1.50	image07	stim-image07.png
169.500	1.50	image09	stim-image09.png
175.500	1.50	image03	stim-image03.png
181.500	1.50	image13	stim-image13.png
184.500	1.50	image03	stim-image03.png
190.500	1.50	image14	stim-image14.png
195.000	1.50	image06	stim-image06.png
198.000	1.50	image04	stim-image04.png
204.000	1.50	image05	stim-image05.png
207.000	1.50	image02	stim-image02.png
210.000	1.50	image08	stim-image08.png
216.000	1.50	image11	stim-image11.png
220.500	1.50	image01	stim-image01.png
223.500	1.50	image08	stim-image08.png
228.000	1.50	image03	stim-image03.png
232.500	1.50	image02	stim-image02.png
238.500	1.50	image01	stim-image01.png
244.500	1.50	image05	stim-image05.png
247.500	1.50	image07	stim-image07.png
253.500	1.50	image05	stim-image05.png
258.000	1.50	image12	stim-image12.png
262.500	1.50	image03	stim-image03.png
268.500	1.50	image13	stim-image13.png
274.500	1.50	image11	stim-image11.png
279.000	1.50	image16	stim-image16.png
285.000	1.50	image15	stim-image15.png
291.000	1.50	image04	stim-image04.png
294.000	1.50	image12	stim-image12.png
298.500	1.50	image07	stim-image07.png
301.500	1.50	image14	stim-image14.png
304.500	1.50	image16	stim-image16.png
310.500	1.50	image11	stim-image11.png
316.500	1.50	image01	stim-image01.png
319.500	1.50	image14	stim-image14.png
324.000	1.50	image02	stim-image02.png
330.000	1.50	image09	stim-image09.png
334.500	1.50	image04	stim-image04.png
337.500	1.50	image10	stim-image10.png
340.500	1.50	image15	stim-image15.png
343.500	1.50	image08	stim-image08.png
346.500	1.50	image06	stim-image06.png
351.000	1.50	image10	stim-image10.png
355.500	1.50	image09	stim-image09.png
360.000	1.50	image13	stim-image13.png
363.000	1.50	image06	stim-image06.png
