onset	duration	trial_type	stim_file
6.000	1.50	image12	stim-image12.png
9.000	1.50	image06	stim-image06.png
12.000	1.50	image01	stim-image01.png
18.000	1.50	image05	stim-image05.png
21.000	1.50	image08	stim-image08.png
24.000	1.50	image10	stim-image10.png
28.500	1.50	image11	stim-image11.png
31.500	1.50	image02	stim-image02.png
37.500	1.50	image15	stim-image15.png
40.500	1.50	image13	stim-image13.png
45.000	1.50	image04	stim-image04.png
48.000	1.50	image16	stim-image16.png
51.000	1.50	image14	stim-image14.png
54.000	1.50	image10	stim-image10.png
60.000	1.50	image11	stim-image11.png
64.500	1.50	image04	stim-image04.png
70.500	1.50	image06	stim-image06.png
73.500	1.50	image02	stim-image02.png
79.500	1.50	image03	stim-image03.png
84.000	1.50	image10	stim-image10.png
87.000	1.50	image16	stim-image16.png
93.000	1.50	image11	stim-image11.png
97.500	1.50	image07	stim-image07.png
100.500	1.50	image03	stim-image03.png
103.500	1.50	image01	stim-image01.png
106.500	1.50	image13	stim-image13.png
112.500	1.50	image09	stim-image09.png
118.500	1.50	image13	stim-image13.png
124.500	1.50	image09	stim-image09.png
130.500	1.50	image14	stim-image14.png
135.000	1.50	image05	stim-image05.png
141.000	1.50	image15	stim-image15.png
144.000	1.50	image08	stim-image08.png
148.500	1.50	image07	stim-image07.png
153.000	1.50	image15	stim-image15.png
159.000	1.50	image03	stim-image03.png
165.000	1.50	image04	stim-image04.png
169.500	1.50	image08	stim-image08.png
172.500	1.50	image16	stim-image16.png
177.000	1.50	image06	stim-image06.png
181.500	1.50	image12	stim-image12.png
184.500	1.50	image09	stim-image09.png
190.500	1.50	image07	stim-image07.png
193.500	1.50	image14	stim-image14.png
196.500	1.50	image02	stim-image02.png
202.500	1.50	image12	stim-image12.png
207.000	1.50	image05	stim-image05.png
211.500	1.50	image01	stim-image01.png
216.000	1.50	image07	stim-image07.png
222.000	1.50	image08	stim-image08.png
228.000	1.50	image03	stim-image03.png
234.000	1.50	image08	stim-image08.png
237.000	1.50	image04	stim-image04.png
243.000	1.50	image01	stim-image01.png
247.500	1.50	image05	stim-image05.png
250.500	1.50	image02	stim-image02.png
255.000	1.50	image16	stim-image16.png
259.500	1.50	image13	stim-image13.png
264.000	1.50	image01	stim-image01.png
270.000	1.50	image03	stim-image03.png
273.000	1.50	image09	stim-image09.png
279.000	1.50	image10	stim-image10.png
282.000	1.50	image02	stim-image02.png
286.500	1.50	image04	stim-image04.png
291.000	1.50	image15	stim-image15.png
295.500	1.50	image12	stim-image12.png
300.000	1.50	image14	stim-image14.png
303.000	1.50	image13	stim-image13.png
306.000	1.50	image07	stim-image07.png
310.500	1.50	image06	stim-image06.png
315.000	1.50	image14	stim-image14.png
321.000	1.50	image11	stim-image11.png
327.000	1.50	image05	stim-image05.png
333.000	1.50	image10	stim-image10.png
337.500	1.50	image11	stim-image11.png
343.500	1.50	image06	stim-image06.png
346.500	1.50	image16	stim-image16.png
352.500	1.50	image12	stim-image12.png
358.500	1.50	image09	stim-image09.png
363.000	1.50	image15	stim-image15.png
