onset	duration	trial_type	stim_file
6.000	1.50	image05	stim-image05.png
12.000	1.50	image08	stim-image08.png
16.500	1.50	image16	stim-image16.png
22.500	1.50	image06	stim-image06.png
28.500	1.50	image11	stim-image11.png
34.500	1.50	image13	stim-image13.png
37.500	1.50	image16	stim-image16.png
40.500	1.50	image10	stim-image10.png
43.500	1.50	image03	stim-image03.png
46.500	1.50	image14	stim-image14.png
49.500	1.50	image13	stim-image13.png
55.500	1.50	image15	stim-image15.png
61.500	1.50	image03	stim-image03.png
67.500	1.50	image12	stim-image12.png
73.500	1.50	image15	stim-image15.png
76.500	1.50	image09	stim-image09.png
81.000	1.50	image16	stim-image16.png
85.500	1.50	image02	stim-image02.png
88.500	1.50	image04	stim-image04.png
93.000	1.50	image05	stim-image05.png
97.500	1.50	image11	stim-image11.png
100.500	1.50	image13	stim-image13.png
106.500	1.50	image15	stim-image15.png
112.500	1.50	image01	stim-image01.png
117.000	1.50	image06	stim-image06.png
123.000	1.50	image04	stim-image04.png
126.000	1.50	image01	stim-image01.png
130.500	1.50	image10	stim-image10.png
133.500	1.50	image04	stim-image04.png
136.500	1.50	image07	stim-image07.png
142.500	1.50	image02	stim-image02.png
147.000	1.50	image01	stim-image01.png
153.000	1.50	image05	stim-image05.png
159.000	1.50	image14	stim-image14.png
163.500	1.50	image11	stim-image11.png
166.500	1.50	image09	stim-image09.png
171.000	1.50	image08	stim-image08.png
177.000	1.50	image07	stim-image07.png
181.500	1.50	image12	stim-image12.png
186.000	1.50	image14	stim-image14.png
189.000	1.50	image12	stim-image12.png
195.000	1.50	image10	stim-image10.png
198.000	1.50	image09	stim-image09.png
204.000	1.50	image02	stim-image02.png
208.500	1.50	image07	stim-image07.png
211.500	1.50	image08	stim-image08.png
217.500	1.50	image03	stim-image03.png
223.500	1.50	image06	stim-image06.png
226.500	1.50	image08	stim-image08.png
232.500	1.50	image01	stim-image01.png
238.500	1.50	image15	stim-image15.png
241.500	1.50	image14	stim-image14.png
246.000	1.50	image16	stim-image16.png
250.500	1.50	image12	stim-image12.png
253.500	1.50	image15	stim-image15.png
258.000	1.50	image11	stim-image11.png
264.000	1.50	image16	stim-image16.png
268.500	1.50	image07	stim-image07.png
273.000	1.50	image10	stim-image10.png
279.000	1.50	image13	stim-image13.png
282.000	1.50	image07	stim-image07.png
285.000	1.50	image11	stim-image11.png
289.500	1.50	image04	stim-image04.png
292.500	1.50	image03	stim-image03.png
297.000	1.50	image12	stim-image12.png
301.500	1.50	image04	stim-image04.png
307.500	1.50	image10	stim-image10.png
312.000	1.50	image09	stim-image09.png
315.000	1.50	image08	stim-image08.png
321.000	1.50	image03	stim-image03.png
325.500	1.50	image06	stim-image06.png
331.500	1.50	image09	stim-image09.png
334.500	1.50	image01	stim-image01.png
337.500	1.50	image05	stim-image05.png
340.500	1.50	image02	stim-image02.png
345.000	1.50	image06	stim-image06.png
348.000	1.50	image14	stim-image14.png
352.500	1.50	image02	stim-image02.png
357.000	1.50	image13	stim-image13.png
363.000	1.50	image05	stim-image05.png
