onset	duration	trial_type	stim_file
6.000	1.50	image14	stim-image14.png
12.000	1.50	image02	stim-image02.png
15.000	1.50	image04	stim-image04.png
19.500	1.50	image12	stim-image12.png
24.000	1.50	image02	stim-image02.png
30.000	1.50	image14	stim-image14.png
36.000	1.50	image05	stim-image05.png
40.500	1.50	image11	stim-image11.png
45.000	1.50	image08	stim-image08.png
49.500	1.50	image03	stim-image03.png
55.500	1.50	image01	stim-image01.png
60.000	1.50	image04	stim-image04.png
66.000	1.50	image16	stim-image16.png
70.500	1.50	image03	stim-image03.png
76.500	1.50	image10	stim-image10.png
79.500	1.50	image06	stim-image06.png
82.500	1.50	image13	stim-image13.png
85.500	1.50	image06	stim-image06.png
91.500	1.50	image16	stim-image16.png
96.000	1.50	image15	stim-image15.png
99.000	1.50	image01	stim-image01.png
102.000	1.50	image07	stim-image07.png
106.500	1.50	image08	stim-image08.png
109.500	1.50	image04	stim-image04.png
112.500	1.50	image09	stim-image09.png
117.000	1.50	image15	stim-image15.png
123.000	1.50	image16	stim-image16.png
129.000	1.50	image15	stim-image15.png
135.000	1.50	image12	stim-image12.png
138.000	1.50	image11	stim-image11.png
144.000	1.50	image07	stim-image07.png
147.000	1.50	image08	stim-image08.png
153.000	1.50	image06	stim-image06.png
157.500	1.50	image07	stim-image07.png
160.500	1.50	image10	stim-image10.png
165.000	1.50	image01	stim-image01.png
171.000	1.50	image09	stim-image09.png
174.000	1.50	image14	stim-image14.png
177.000	1.50	image13	stim-image13.png
180.000	1.50	image03	stim-image03.png
183.000	1.50	image05	stim-image05.png
189.000	1.50	image02	stim-image02.png
195.000	1.50	image11	stim-image11.png
201.000	1.50	image09	stim-image09.png
205.500	1.50	image12	stim-image12.png
210.000	1.50	image05	stim-image05.png
216.000	1.50	image10	stim-image10.png
220.500	1.50	image13	stim-image13.png
226.500	1.50	image05	stim-image05.png
231.000	1.50	image15	stim-image15.png
235.500	1.50	image08	stim-image08.png
238.500	1.50	image01	stim-image01.png
241.500	1.50	image13	stim-image13.png
244.500	1.50	image04	stim-image04.png
249.000	1.50	image10	stim-image10.png
253.500	1.50	image12	stim-image12.png
259.500	1.50	image10	stim-image10.png
262.500	1.50	image03	stim-image03.png
267.000	1.50	image14	stim-image14.png
273.000	1.50	image11	stim-image11.png
277.500	1.50	image04	stim-image04.png
280.500	1.50	image16	stim-image16.png
286.500	1.50	image14	stim-image14.png
291.000	1.50	image03	stim-image03.png
295.500	1.50	image12	stim-image12.png
300.000	1.50	image09	stim-image09.png
303.000	1.50	image01	stim-image01.png
307.500	1.50	image11	stim-image11.png
310.500	1.50	image02	stim-image02.png
315.000	1.50	image09	stim-image09.png
321.000	1.50	image05	stim-image05.png
324.000	1.50	image07	stim-image07.png
330.000	1.50	image13	stim-image13.png
333.000	1.50	image02	stim-image02.png
339.000	1.50	image15	stim-image15.png
342.000	1.50	image07	stim-image07.png
348.000	1.50	image06	stim-image06.png
351.000	1.50	image16	stim-image16.png
357.000	1.50	image06	stim-image06.png
363.000	1.50	image08	stim-image08.png
