onset	duration	trial_type	stim_file
6.000	1.50	image13	stim-image13.png
9.000	1.50	image01	stim-image01.png
13.500	1.50	image03	stim-image03.png
19.500	1.50	image01	stim-image01.png
22.500	1.50	image15	stim-image15.png
28.500	1.50	image02	stim-image02.png
33.000	1.50	image16	stim-image16.png
36.000	1.50	image05	stim-image05.png
40.500	1.50	image16	stim-image16.png
45.000	1.50	image15	stim-image15.png
49.500	1.50	image04	stim-image04.png
52.500	1.50	image12	stim-image12.png
57.000	1.50	image15	stim-image15.png
63.000	1.50	image03	stim-image03.png
66.000	1.50	image09	stim-image09.png
72.000	1.50	image04	stim-image04.png
78.000	1.50	image11	stim-image11.png
82.500	1.50	image07	stim-image07.png
85.500	1.50	image09	stim-image09.png
90.000	1.50	image07	stim-image07.png
96.000	1.50	image03	stim-image03.png
100.500	1.50	image08	stim-image08.png
103.500	1.50	image13	stim-image13.png
106.500	1.50	image10	stim-image10.png
112.500	1.50	image06	stim-image06.png
118.500	1.50	image14	stim-image14.png
123.000	1.50	image10	stim-image10.png
129.000	1.50	image06	stim-image06.png
135.000	1.50	image08	stim-image08.png
141.000	1.50	image13	stim-image13.png
144.000	1.50	image05	stim-image05.png
147.000	1.50	image12	stim-image12.png
153.000	1.50	image07	stim-image07.png
157.500	1.50	image01	stim-image01.png
160.500	1.50	image12	stim-image12.png
163.500	1.50	image02	stim-image02.png
169.500	1.50	image11	stim-image11.png
174.000	1.50	image14	stim-image14.png
178.500	1.50	image16	stim-image16.png
184.500	1.50	image06	stim-image06.png
187.500	1.50	image02	stim-image02.png
190.500	1.50	image04	stim-image04.png
196.500	1.50	image08	stim-image08.png
202.500	1.50	image05	stim-image05.png
207.000	1.50	image11	stim-image11.png
211.500	1.50	image14	stim-image14.png
214.500	1.50	image09	stim-image09.png
219.000	1.50	image10	stim-image10.png
223.500	1.50	image13	stim-image13.png
228.000	1.50	image07	stim-image07.png
232.500	1.50	image02	stim-image02.png
237.000	1.50	image09	stim-image09.png
243.000	1.50	image08	stim-image08.png
249.000	1.50	image14	stim-image14.png
252.000	1.50	image13	stim-image13.png
255.000	1.50	image03	stim-image03.png
258.000	1.50	image06	stim-image06.png
262.500	1.50	image16	stim-image16.png
268.500	1.50	image12	stim-image12.png
273.000	1.50	image06	stim-image06.png
276.000	1.50	image14	stim-image14.png
279.000	1.50	image15	stim-image15.png
283.500	1.50	image09	stim-image09.png
286.500	1.50	image05	stim-image05.png
289.500	1.50	image03	stim-image03.png
295.500	1.50	image05	stim-image05.png
298.500	1.50	image12	stim-image12.png
304.500	1.50	image10	stim-image10.png
307.500	1.50	image01	stim-image01.png
312.000	1.50	image02	stim-image02.png
315.000	1.50	image15	stim-image15.png
318.000	1.50	image04	stim-image04.png
324.000	1.50	image11	stim-image11.png
330.000	1.50	image16	stim-image16.png
334.500	1.50	image11	stim-image11.png
340.500	1.50	image04	stim-image04.png
346.500	1.50	image01	stim-image01.png
352.500	1.50	image08	stim-image08.png
357.000	1.50	image07	stim-image07.png
363.000	1.50	image10	stim-image10.png
