onset	duration	trial_type	stim_file
6.000	1.50	image14	stim-image14.png
12.000	1.50	image02	stim-image02.png
15.000	1.50	image12	stim-image12.png
19.500	1.50	image04	stim-image04.png
22.500	1.50	image01	stim-image01.png
28.500	1.50	image10	stim-image10.png
31.500	1.50	image05	stim-image05.png
34.500	1.50	image01	stim-image01.png
40.500	1.50	image02	stim-image02.png
46.500	1.50	image13	stim-image13.png
51.000	1.50	image16	stim-image16.png
54.000	1.50	image09	stim-image09.png
58.500	1.50	image03	stim-image03.png
63.000	1.50	image06	stim-image06.png
69.000	1.50	image02	stim-image02.png
72.000	1.50	image15	stim-image15.png
76.500	1.50	image14	stim-image14.png
81.000	1.50	image15	stim-image15.png
85.500	1.50	image16	stim-image16.png
88.500	1.50	image15	stim-image15.png
91.500	1.50	image01	stim-image01.png
97.500	1.50	image08	stim-image08.png
102.000	1.50	image09	stim-image09.png
105.000	1.50	image06	stim-image06.png
108.000	1.50	image13	stim-image13.png
114.000	1.50	image11	stim-image11.png
120.000	1.50	image05	stim-image05.png
126.000	1.50	image04	stim-image04.png
130.500	1.50	image13	stim-image13.png
136.500	1.50	image08	stim-image08.png
142.500	1.50	image14	stim-image14.png
147.000	1.50	image11	stim-image11.png
153.000	1.50	image16	stim-image16.png
159.000	1.50	image10	stim-image10.png
165.000	1.50	image07	stim-image07.png
169.500	1.50	image03	stim-image03.png
174.000	1.50	image09	stim-image09.png
180.000	1.50	image06	stim-image06.png
184.500	1.50	image12	stim-image12.png
190.500	1.50	image07	stim-image07.png
196.500	1.50	image11	stim-image11.png
199.500	1.50	image08	stim-image08.png
202.500	1.50	image04	stim-image04.png
205.500	1.50	image10	stim-image10.png
210.000	1.50	image03	stim-image03.png
214.500	1.50	image05	stim-image05.png
219.000	1.50	image07	stim-image07.png
225.000	1.50	image12	stim-image12.png
229.500	1.50	image11	stim-image11.png
234.000	1.50	image05	stim-image05.png
240.000	1.50	image13	stim-image13.png
243.000	1.50	image08	stim-image08.png
249.000	1.50	image10	stim-image10.png
255.000	1.50	image06	stim-image06.png
259.500	1.50	image07	stim-image07.png
262.500	1.50	image02	stim-image02.png
265.500	1.50	image01	stim-image01.png
268.500	1.50	image06	stim-image06.png
274.500	1.50	image03	stim-image03.png
279.000	1.50	image16	stim-image16.png
282.000	1.50	image12	stim-image12.png
286.500	1.50	image02	stim-image02.png
291.000	1.50	image14	stim-image14.png
297.000	1.50	image15	stim-image15.png
300.000	1.50	image11	stim-image11.png
303.000	1.50	image08	stim-image08.png
307.500	1.50	image05	stim-image05.png
312.000	1.50	image04	stim-image04.png
315.000	1.50	image15	stim-image15.png
318.000	1.50	image10	stim-image10.png
322.500	1.50	image01	stim-image01.png
328.500	1.50	image04	stim-image04.png
331.500	1.50	image09	stim-image09.png
334.500	1.50	image14	stim-image14.png
339.000	1.50	image07	stim-image07.png
345.000	1.50	image09	stim-image09.png
351.000	1.50	image16	stim-image16.png
354.000	1.50	image03	stim-image03.png
360.000	1.50	image12	stim-image12.png
363.000	1.50	image13	stim-image13.png
