onset	duration	trial_type	stim_file
6.000	1.50	image05	stim-image05.png
9.000	1.50	image01	stim-image01.png
15.000	1.50	image05	stim-image05.png
18.000	1.50	image06	stim-image06.png
24.000	1.50	image03	stim-image03.png
30.000	1.50	image14	stim-image14.png
33.000	1.50	image08	stim-image08.png
37.500	1.50	image02	stim-image02.png
40.500	1.50	image09	stim-image09.png
43.500	1.50	image04	stim-image04.png
49.500	1.50	image03	stim-image03.png
55.500	1.50	image01	stim-image01.png
60.000	1.50	image16	stim-image16.png
64.500	1.50	image04	stim-image04.png
67.500	1.50	image03	stim-image03.png
73.500	1.50	image10	stim-image10.png
79.500	1.50	image08	stim-image08.png
84.000	1.50	image09	stim-image09.png
90.000	1.50	image04	stim-image04.png
93.000	1.50	image11	stim-image11.png
97.500	1.50	image15	stim-image15.png
102.000	1.50	image13	stim-image13.png
106.500	1.50	image09	stim-image09.png
109.500	1.50	image13	stim-image13.png
114.000	1.50	image12	stim-image12.png
120.000	1.50	image01	stim-image01.png
126.000	1.50	image15	stim-image15.png
129.000	1.50	image12	stim-image12.png
135.000	1.50	image16	stim-image16.png
141.000	1.50	image02	stim-image02.png
147.000	1.50	image11	stim-image11.png
151.500	1.50	image07	stim-image07.png
154.500	1.50	image08	stim-image08.png
157.500	1.50	image12	stim-image12.png
163.500	1.50	image10	stim-image10.png
168.000	1.50	image05	stim-image05.png
171.000	1.50	image16	stim-image16.png
175.500	1.50	image10	stim-image10.png
178.500	1.50	image15	stim-image15.png
181.500	1.50	image07	stim-image07.png
187.500	1.50	image14	stim-image14.png
193.500	1.50	image06	stim-image06.png
198.000	1.50	image02	stim-image02.png
202.500	1.50	image14	stim-image14.png
207.000	1.50	image07	stim-image07.png
210.000	1.50	image11	stim-image11.png
216.000	1.50	image06	stim-image06.png
219.000	1.50	image13	stim-image13.png
225.000	1.50	image11	stim-image11.png
231.000	1.50	image10	stim-image10.png
234.000	1.50	image14	stim-image14.png
240.000	1.50	image13	stim-image13.png
244.500	1.50	image14	stim-image14.png
249.000	1.50	image03	stim-image03.png
255.000	1.50	image02	stim-image02.png
258.000	1.50	image04	stim-image04.png
262.500	1.50	image05	stim-image05.png
265.500	1.50	image13	stim-image13.png
270.000	1.50	image08	stim-image08.png
273.000	1.50	image04	stim-image04.png
277.500	1.50	image16	stim-image16.png
280.500	1.50	image08	stim-image08.png
283.500	1.50	image01	stim-image01.png
288.000	1.50	image07	stim-image07.png
292.500	1.50	image01	stim-image01.png
297.000	1.50	image15	stim-image15.png
301.500	1.50	image12	stim-image12.png
307.500	1.50	image06	stim-image06.png
312.000	1.50	image10	stim-image10.png
318.000	1.50	image16	stim-image16.png
321.000	1.50	image09	stim-image09.png
327.000	1.50	image02	stim-image02.png
330.000	1.50	image05	stim-image05.png
336.000	1.50	image11	stim-image11.png
342.000	1.50	image12	stim-image12.png
345.000	1.50	image06	stim-image06.png
351.000	1.50	image07	stim-image07.png
354.000	1.50	image09	stim-image09.png
358.500	1.50	image15	stim-image15.png
363.000	1.50	image03	stim-image03.png
