onset	duration	trial_type	stim_file
6.000	1.50	image14	stim-image14.png
9.000	1.50	image16	stim-image16.png
12.000	1.50	image07	stim-image07.png
16.500	1.50	image05	stim-image05.png
21.000	1.50	image10	stim-image10.png
24.000	1.50	image13	stim-image13.png
28.500	1.50	image12	stim-image12.png
31.500	1.50	image10	stim-image10.png
34.500	1.50	image05	stim-image05.png
39.000	1.50	image12	stim-image12.png
45.000	1.50	image06	stim-image06.png
51.000	1.50	image02	stim-image02.png
55.500	1.50	image13	stim-image13.png
60.000	1.50	image03	stim-image03.png
64.500	1.50	image04	stim-image04.png
70.500	1.50	image13	stim-image13.png
73.500	1.50	image15	stim-image15.png
78.000	1.50	image08	stim-image08.png
81.000	1.50	image03	stim-image03.png
87.000	1.50	image11	stim-image11.png
93.000	1.50	image04	stim-image04.png
97.500	1.50	image14	stim-image14.png
100.500	1.50	image01	stim-image01.png
103.500	1.50	image15	stim-image15.png
106.500	1.50	image06	stim-image06.png
112.500	1.50	image16	stim-image16.png
117.000	1.50	image09	stim-image09.png
120.000	1.50	image01	stim-image01.png
126.000	1.50	image07	stim-image07.png
130.500	1.50	image06	stim-image06.png
136.500	1.50	image15	stim-image15.png
139.500	1.50	image09	stim-image09.png
145.500	1.50	image10	stim-image10.png
150.000	1.50	image07	stim-image07.png
156.000	1.50	image05	stim-image05.png
159.000	1.50	image09	stim-image09.png
162.000	1.50	image08	stim-image08.png
166.500	1.50	image11	stim-image11.png
172.500	1.50	image02	stim-image02.png
178.500	1.50	image12	stim-image12.png
184.500	1.50	image02	stim-image02.png
187.500	1.50	image16	stim-image16.png
193.500	1.50	image03	stim-image03.png
199.500	1.50	image04	stim-image04.png
204.000	1.50	image01	stim-image01.png
210.000	1.50	image11	stim-image11.png
213.000	1.50	image14	stim-image14.png
216.000	1.50	image08	stim-image08.png
220.500	1.50	image12	stim-image12.png
226.500	1.50	image03	stim-image03.png
231.000	1.50	image14	stim-image14.png
235.500	1.50	image01	stim-image01.png
238.500	1.50	image09	stim-image09.png
241.500	1.50	image03	stim-image03.png
244.500	1.50	image15	stim-image15.png
250.500	1.50	image08	stim-image08.png
255.000	1.50	image14	stim-image14.png
261.000	1.50	image10	stim-image10.png
264.000	1.50	image02	stim-image02.png
270.000	1.50	image09	stim-image09.png
274.500	1.50	image02	stim-image02.png
279.000	1.50	image12	stim-image12.png
282.000	1.50	image16	stim-image16.png
288.000	1.50	image01	stim-image01.png
292.500	1.50	image06	stim-image06.png
298.500	1.50	image04	stim-image04.png
303.000	1.50	image07	stim-image07.png
309.000	1.50	image08	stim-image08.png
313.500	1.50	image13	stim-image13.png
318.000	1.50	image11	stim-image11.png
321.000	1.50	image06	stim-image06.png
327.000	1.50	image11	stim-image11.png
330.000	1.50	image16	stim-image16.png
334.500	1.50	image07	stim-image07.png
340.500	1.50	image15	stim-image15.png
346.500	1.50	image05	stim-image05.png
351.000	1.50	image13	stim-image13.png
354.000	1.50	image05	stim-image05.png
360.000	1.50	image10	stim-image10.png
363.000	1.50	image04	stim-image04.png
