onset	duration	trial_type	stim_file
6.000	1.50	image15	stim-image15.png
12.000	1.50	image03	stim-image03.png
16.500	1.50	image12	stim-image12.png
22.500	1.50	image02	stim-image02.png
27.000	1.50	image01	stim-image01.png
33.000	1.50	image10	stim-image10.png
39.000	1.50	image08	stim-image08.png
45.000	1.50	image06	stim-image06.png
48.000	1.50	image12	stim-image12.png
54.000	1.50	image01	stim-image01.png
57.000	1.50	image07	stim-image07.png
60.000	1.50	image14	stim-image14.png
66.000	1.50	image06	stim-image06.png
69.000	1.50	image09	stim-image09.png
75.000	1.50	image13	stim-image13.png
79.500	1.50	image04	stim-image04.png
82.500	1.50	image03	stim-image03.png
85.500	1.50	image09	stim-image09.png
90.000	1.50	image14	stim-image14.png
93.000	1.50	image15	stim-image15.png
96.000	1.50	image12	stim-image12.png
99.000	1.50	image16	stim-image16.png
103.500	1.50	image08	stim-image08.png
109.500	1.50	image16	stim-image16.png
114.000	1.50	image11	stim-image11.png
118.500	1.50	image06	stim-image06.png
123.000	1.50	image13	stim-image13.png
126.000	1.50	image11	stim-image11.png
130.500	1.50	image10	stim-image10.png
133.500	1.50	image07	stim-image07.png
139.500	1.50	image04	stim-image04.png
142.500	1.50	image05	stim-image05.png
145.500	1.50	image15	stim-image15.png
150.000	1.50	image10	stim-image10.png
153.000	1.50	image13	stim-image13.png
156.000	1.50	image14	stim-image14.png
162.000	1.50	image16	stim-image16.png
168.000	1.50	image01	stim-image01.png
174.000	1.50	image05	stim-image05.png
177.000	1.50	image02	stim-image02.png
180.000	1.50	image03	stim-image03.png
184.500	1.50	image05	stim-image05.png
189.000	1.50	image02	stim-image02.png
193.500	1.50	image08	stim-image08.png
198.000	1.50	image07	stim-image07.png
202.500	1.50	image04	stim-image04.png
205.500	1.50	image11	stim-image11.png
210.000	1.50	image09	stim-image09.png
214.500	1.50	image16	stim-image16.png
219.000	1.50	image05	stim-image05.png
223.500	1.50	image11	stim-image11.png
226.500	1.50	image07	stim-image07.png
232.500	1.50	image15	stim-image15.png
235.500	1.50	image04	stim-image04.png
241.500	1.50	image03	stim-image03.png
246.000	1.50	image16	stim-image16.png
252.000	1.50	image06	stim-image06.png
256.500	1.50	image02	stim-image02.png
262.500	1.50	image01	stim-image01.png
267.000	1.50	image12	stim-image12.png
273.000	1.50	image09	stim-image09.png
279.000	1.50	image14	stim-image14.png
285.000	1.50	image07	stim-image07.png
291.000	1.50	image13	stim-image13.png
294.000	1.50	image05	stim-image05.png
297.000	1.50	image11	stim-image11.png
301.500	1.50	image15	stim-image15.png
307.500	1.50	image08	stim-image08.png
310.500	1.50	image03	stim-image03.png
316.500	1.50	image08	stim-image08.png
322.500	1.50	image01	stim-image01.png
325.500	1.50	image09	stim-image09.png
330.000	1.50	image10	stim-image10.png
333.000	1.50	image12	stim-image12.png
337.500	1.50	image02	stim-image02.png
343.500	1.50	image04	stim-image04.png
349.500	1.50	image10	stim-image10.png
352.500	1.50	image14	stim-image14.png
358.500	1.50	image06	stim-image06.png
363.000	1.50	image13	stim-image13.png
