onset	duration	trial_type	stim_file
6.000	1.50	image16	stim-image16.png
12.000	1.50	image04	stim-image04.png
18.000	1.50	image16	stim-image16.png
22.500	1.50	image08	stim-image08.png
27.000	1.50	image04	stim-image04.png
33.000	1.50	image14	stim-image14.png
37.500	1.50	image07	stim-image07.png
40.500	1.50	image09	stim-image09.png
45.000	1.50	image05	stim-image05.png
48.000	1.50	image02	stim-image02.png
51.000	1.50	image01	stim-image01.png
54.000	1.50	image11	stim-image11.png
60.000	1.50	image13	stim-image13.png
66.000	1.50	image15	stim-image15.png
70.500	1.50	image09	stim-image09.png
73.500	1.50	image12	stim-image12.png
79.500	1.50	image16	stim-image16.png
85.500	1.50	image15	stim-image15.png
90.000	1.50	image05	stim-image05.png
94.500	1.50	image06	stim-image06.png
100.500	1.50	image08	stim-image08.png
105.000	1.50	image06	stim-image06.png
108.000	1.50	image11	stim-image11.png
112.500	1.50	image02	stim-image02.png
118.500	1.50	image01	stim-image01.png
121.500	1.50	image03	stim-image03.png
127.500	1.50	image12	stim-image12.png
133.500	1.50	image03	stim-image03.png
138.000	1.50	image11	stim-image11.png
142.500	1.50	image10	stim-image10.png
145.500	1.50	image13	stim-image13.png
148.500	1.50	image07	stim-image07.png
151.500	1.50	image02	stim-image02.png
154.500	1.50	image12	stim-image12.png
157.500	1.50	image10	stim-image10.png
160.500	1.50	image05	stim-image05.png
165.000	1.50	image10	stim-image10.png
171.000	1.50	image09	stim-image09.png
177.000	1.50	image14	stim-image14.png
181.500	1.50	image01	stim-image01.png
184.500	1.50	image08	stim-image08.png
187.500	1.50	image03	stim-image03.png
190.500	1.50	image07	stim-image07.png
196.500	1.50	image15	stim-image15.png
201.000	1.50	image14	stim-image14.png
205.500	1.50	image04	stim-image04.png
211.500	1.50	image13	stim-image13.png
216.000	1.50	image06	stim-image06.png
222.000	1.50	image10	stim-image10.png
226.500	1.50	image16	stim-image16.png
229.500	1.50	image13	stim-image13.png
235.500	1.50	image08	stim-image08.png
240.000	1.50	image15	stim-image15.png
243.000	1.50	image09	stim-image09.png
247.500	1.50	image02	stim-image02.png
252.000	1.50	image03	stim-image03.png
256.500	1.50	image07	stim-image07.png
262.500	1.50	image14	stim-image14.png
267.000	1.50	image12	stim-image12.png
273.000	1.50	image11	stim-image11.png
279.000	1.50	image06	stim-image06.png
283.500	1.50	image05	stim-image05.png
286.500	1.50	image09	stim-image09.png
289.500	1.50	image16	stim-image16.png
294.000	1.50	image10	stim-image10.png
297.000	1.50	image11	stim-image11.png
301.500	1.50	image03	stim-image03.png
304.500	1.50	image12	stim-image12.png
307.500	1.50	image02	stim-image02.png
313.500	1.50	image08	stim-image08.png
319.500	1.50	image04	stim-image04.png
325.500	1.50	image15	stim-image15.png
328.500	1.50	image13	stim-image13.png
334.500	1.50	image14	stim-image14.png
340.500	1.50	image01	stim-image01.png
343.500	1.50	image06	stim-image06.png
349.500	1.50	image01	stim-image01.png
355.500	1.50	image05	stim-image05.png
358.500	1.50	image04	stim-image04.png
363.000	1.50	image07	stim-image07.png
